"Year","variable","value"
1994,"ViolentCrime",1857670
1995,"ViolentCrime",1798792
1996,"ViolentCrime",1688540
1997,"ViolentCrime",1636096
1998,"ViolentCrime",1533887
1999,"ViolentCrime",1426044
2000,"ViolentCrime",1425486
2001,"ViolentCrime",1439480
2002,"ViolentCrime",1423677
2003,"ViolentCrime",1383676
2004,"ViolentCrime",1360088
2005,"ViolentCrime",1390745
2006,"ViolentCrime",1435123
2007,"ViolentCrime",1422970
2008,"ViolentCrime",1394461
2009,"ViolentCrime",1325896
2010,"ViolentCrime",1251248
2011,"ViolentCrime",1206005
2012,"ViolentCrime",1217057
2013,"ViolentCrime",1163146
1994,"MurderAndNonnegligentManslaughter",23326
1995,"MurderAndNonnegligentManslaughter",21606
1996,"MurderAndNonnegligentManslaughter",19645
1997,"MurderAndNonnegligentManslaughter",18208
1998,"MurderAndNonnegligentManslaughter",16974
1999,"MurderAndNonnegligentManslaughter",15522
2000,"MurderAndNonnegligentManslaughter",15586
2001,"MurderAndNonnegligentManslaughter",16037
2002,"MurderAndNonnegligentManslaughter",16229
2003,"MurderAndNonnegligentManslaughter",16528
2004,"MurderAndNonnegligentManslaughter",16148
2005,"MurderAndNonnegligentManslaughter",16740
2006,"MurderAndNonnegligentManslaughter",17309
2007,"MurderAndNonnegligentManslaughter",17128
2008,"MurderAndNonnegligentManslaughter",16465
2009,"MurderAndNonnegligentManslaughter",15399
2010,"MurderAndNonnegligentManslaughter",14722
2011,"MurderAndNonnegligentManslaughter",14661
2012,"MurderAndNonnegligentManslaughter",14856
2013,"MurderAndNonnegligentManslaughter",14196
1994,"Rape",102216
1995,"Rape",97470
1996,"Rape",96252
1997,"Rape",96153
1998,"Rape",93144
1999,"Rape",89411
2000,"Rape",90178
2001,"Rape",90863
2002,"Rape",95235
2003,"Rape",93883
2004,"Rape",95089
2005,"Rape",94347
2006,"Rape",94472
2007,"Rape",92160
2008,"Rape",90750
2009,"Rape",89241
2010,"Rape",85593
2011,"Rape",84175
2012,"Rape",85141
2013,"Rape",79770
1994,"Robbery",618949
1995,"Robbery",580509
1996,"Robbery",535594
1997,"Robbery",498534
1998,"Robbery",447186
1999,"Robbery",409371
2000,"Robbery",408016
2001,"Robbery",423557
2002,"Robbery",420806
2003,"Robbery",414235
2004,"Robbery",401470
2005,"Robbery",417438
2006,"Robbery",449246
2007,"Robbery",447324
2008,"Robbery",443563
2009,"Robbery",408742
2010,"Robbery",369089
2011,"Robbery",354746
2012,"Robbery",355051
2013,"Robbery",345031
1994,"AggravatedAssault",1113179
1995,"AggravatedAssault",1099207
1996,"AggravatedAssault",1037049
1997,"AggravatedAssault",1023201
1998,"AggravatedAssault",976583
1999,"AggravatedAssault",911740
2000,"AggravatedAssault",911706
2001,"AggravatedAssault",909023
2002,"AggravatedAssault",891407
2003,"AggravatedAssault",859030
2004,"AggravatedAssault",847381
2005,"AggravatedAssault",862220
2006,"AggravatedAssault",874096
2007,"AggravatedAssault",866358
2008,"AggravatedAssault",843683
2009,"AggravatedAssault",812514
2010,"AggravatedAssault",781844
2011,"AggravatedAssault",752423
2012,"AggravatedAssault",762009
2013,"AggravatedAssault",724149
1994,"PropertyCrime",12131873
1995,"PropertyCrime",12063935
1996,"PropertyCrime",11805323
1997,"PropertyCrime",11558475
1998,"PropertyCrime",10951827
1999,"PropertyCrime",10208334
2000,"PropertyCrime",10182584
2001,"PropertyCrime",10437189
2002,"PropertyCrime",10455277
2003,"PropertyCrime",10442862
2004,"PropertyCrime",10319386
2005,"PropertyCrime",10174754
2006,"PropertyCrime",10019601
2007,"PropertyCrime",9882212
2008,"PropertyCrime",9774152
2009,"PropertyCrime",9337060
2010,"PropertyCrime",9112625
2011,"PropertyCrime",9052743
2012,"PropertyCrime",9001992
2013,"PropertyCrime",8632512
1994,"Burglary",2712774
1995,"Burglary",2593784
1996,"Burglary",2506400
1997,"Burglary",2460526
1998,"Burglary",2332735
1999,"Burglary",2100739
2000,"Burglary",2050992
2001,"Burglary",2116531
2002,"Burglary",2151252
2003,"Burglary",2154834
2004,"Burglary",2144446
2005,"Burglary",2155448
2006,"Burglary",2194993
2007,"Burglary",2190198
2008,"Burglary",2228887
2009,"Burglary",2203313
2010,"Burglary",2168459
2011,"Burglary",2185140
2012,"Burglary",2109932
2013,"Burglary",1928465
1994,"LarcenyTheft",7879812
1995,"LarcenyTheft",7997710
1996,"LarcenyTheft",7904685
1997,"LarcenyTheft",7743760
1998,"LarcenyTheft",7376311
1999,"LarcenyTheft",6955520
2000,"LarcenyTheft",6971590
2001,"LarcenyTheft",7092267
2002,"LarcenyTheft",7057379
2003,"LarcenyTheft",7026802
2004,"LarcenyTheft",6937089
2005,"LarcenyTheft",6783447
2006,"LarcenyTheft",6626363
2007,"LarcenyTheft",6591542
2008,"LarcenyTheft",6586206
2009,"LarcenyTheft",6338095
2010,"LarcenyTheft",6204601
2011,"LarcenyTheft",6151095
2012,"LarcenyTheft",6168874
2013,"LarcenyTheft",6004453
1994,"MotorVehicleTheft",1539287
1995,"MotorVehicleTheft",1472441
1996,"MotorVehicleTheft",1394238
1997,"MotorVehicleTheft",1354189
1998,"MotorVehicleTheft",1242781
1999,"MotorVehicleTheft",1152075
2000,"MotorVehicleTheft",1160002
2001,"MotorVehicleTheft",1228391
2002,"MotorVehicleTheft",1246646
2003,"MotorVehicleTheft",1261226
2004,"MotorVehicleTheft",1237851
2005,"MotorVehicleTheft",1235859
2006,"MotorVehicleTheft",1198245
2007,"MotorVehicleTheft",1100472
2008,"MotorVehicleTheft",959059
2009,"MotorVehicleTheft",795652
2010,"MotorVehicleTheft",739565
2011,"MotorVehicleTheft",716508
2012,"MotorVehicleTheft",723186
2013,"MotorVehicleTheft",699594
