id,code,name,name_camel
7,AL,ALABAMA,Alabama
26,AK,ALASKA,Alaska
13,AZ,ARIZONA,Arizona
0,AR,ARKANSAS,Arkansas
1,CA,CALIFORNIA,California
14,CO,COLORADO,Colorado
46,CT,CONNECTICUT,Connecticut
49,DE,DELAWARE,Delaware
50,DC,DISTRICT OF COLUMBIA,District Of Columbia
38,FL,FLORIDA,Florida
29,GA,GEORGIA,Georgia
44,HI,HAWAII,Hawaii
33,ID,IDAHO,Idaho
2,IL,ILLINOIS,Illinois
15,IN,INDIANA,Indiana
8,IA,IOWA,Iowa
3,KS,KANSAS,Kansas
40,KY,KENTUCKY,Kentucky
9,LA,LOUISIANA,Louisiana
30,ME,MAINE,Maine
47,MD,MARYLAND,Maryland
48,MA,MASSACHUSETTS,Massachusetts
16,MI,MICHIGAN,Michigan
10,MN,MINNESOTA,Minnesota
4,MS,MISSISSIPPI,Mississippi
11,MO,MISSOURI,Missouri
17,MT,MONTANA,Montana
12,NE,NEBRASKA,Nebraska
43,NV,NEVADA,Nevada
41,NH,NEW HAMPSHIRE,New Hampshire
45,NJ,NEW JERSEY,New Jersey
35,NM,NEW MEXICO,New Mexico
18,NY,NEW YORK,New York
22,NC,NORTH CAROLINA,North Carolina
28,ND,NORTH DAKOTA,North Dakota
5,OH,OHIO,Ohio
23,OK,OKLAHOMA,Oklahoma
19,OR,OREGON,Oregon
37,PA,PENNSYLVANIA,Pennsylvania
31,RI,RHODE ISLAND,Rhode Island
42,SC,SOUTH CAROLINA,South Carolina
34,SD,SOUTH DAKOTA,South Dakota
24,TN,TENNESSEE,Tennessee
6,TX,TEXAS,Texas
39,UT,UTAH,Utah
27,VT,VERMONT,Vermont
20,VA,VIRGINIA,Virginia
36,WA,WASHINGTON,Washington
32,WV,WEST VIRGINIA,West Virginia
25,WI,WISCONSIN,Wisconsin
21,WY,WYOMING,Wyoming
